record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
soranzo_0107,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,34.9,22.1,12.8,88.8,11.0,592.5,2.75,1.643,0.208
soranzo_0108,zenodo:10.5281/zenodo.14251190,Hollabrunn,SP,46.027,20.04,25.987,94.21,4.592615,592.5,2.75,1.783152,0.1799283
soranzo_0109,zenodo:10.5281/zenodo.14251190,Hollabrunn,SP,44.968,20.945,24.022,88.19988000000001,8.271152,592.5,2.75,1.80367,0.1799283
soranzo_0110,zenodo:10.5281/zenodo.14251190,Hollabrunn,SP,41.948,19.706,22.242,96.04884,3.905684,592.5,2.75,1.748173,0.1890913
soranzo_0114,zenodo:10.5281/zenodo.14251190,Hollabrunn,SP,41.551,21.524,20.027,30.7813,31.07735,592.5,2.69022,2.061423,0.1042253
soranzo_0196,zenodo:10.5281/zenodo.14251190,Sankt Valentin,SP,52.18892,23.7556,28.43332,92.13,7.86,592.5,2.75,1.663706,0.2017219
soranzo_0248,zenodo:10.5281/zenodo.14251190,Sankt Valentin,SP,52.18892,23.7556,28.43332,88.72,9.59,592.5,2.75,1.703005,0.1900903
soranzo_0402,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,36.401,25.349,11.052,75.50999999999999,24.15,592.5,2.7,1.70404,0.1907479
soranzo_0403,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,43.799,27.002,16.797,88.09,11.46,592.5,2.7,1.700861,0.1925009
soranzo_0404,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,37.88,25.924,11.955,73.45,25.33,592.5,2.7,1.759192,0.1766564
soranzo_0405,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,42.459,25.735,16.724,84.06,15.43,592.5,2.7,1.719891,0.1871284
soranzo_0406,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,44.314,26.097,18.217,79.21000000000001,19.21,592.5,2.75,1.667894,0.2148676
soranzo_0407,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,40.56,27.078,13.482,78.97,20.63,592.5,2.75,1.68595,0.1930788
soranzo_0408,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,40.53,25.247,15.282,78.3,21.03,592.5,2.75,1.739563,0.1836273
soranzo_0409,zenodo:10.5281/zenodo.14251190,Angern an der March,SP,39.832,23.747,16.085,75.53,23.89,592.5,2.75,1.731006,0.1860467999999999
soranzo_0419,zenodo:10.5281/zenodo.14251190,Wimpassing an der Leitha,SP,25.231,21.191,4.04,66.8,28.8,592.5,2.739,1.898,0.131
soranzo_0420,zenodo:10.5281/zenodo.14251190,Austria (unspecified),SP,32.7,19.8,12.9,82.5,17.5,592.5,2.7,1.797,0.159
soranzo_0425,zenodo:10.5281/zenodo.14251190,Austria (unspecified),SP,47.1204,23.94079,23.1796,96.1,3.78,592.5,2.732,1.629138,0.2225712
soranzo_0426,zenodo:10.5281/zenodo.14251190,Austria (unspecified),SP,73.075,49.247,23.828,23.05,49.19,592.5,2.794,1.678788,0.1996521
soranzo_0429,zenodo:10.5281/zenodo.14251190,Austria (unspecified),SP,41.5,20.1,21.4,79.69999999999999,20.0,592.5,2.721,1.7834,0.185
soranzo_0430,zenodo:10.5281/zenodo.14251190,Altenburg,SP,61.027,27.393,33.634,88.17041,11.24988,592.5,2.75,1.733779,0.1913043
soranzo_0458,zenodo:10.5281/zenodo.14251190,Hagsdorf,SP,31.4,20.9,10.6,65.8,20.7,592.5,2.745,1.938,0.124
soranzo_0459,zenodo:10.5281/zenodo.14251190,Hagsdorf,SP,28.1,21.3,6.8,74.39999999999999,13.2,592.5,2.745,1.943,0.124
soranzo_0460,zenodo:10.5281/zenodo.14251190,Steinakirchen,SP,37.9,19.2,18.7,67.2,18.4,592.5,2.743,1.849,0.155
soranzo_0463,zenodo:10.5281/zenodo.14251190,Gottsdorf,SP,42.0,21.0,21.0,74.5,23.3,592.5,2.75,1.754,0.173
soranzo_0466,zenodo:10.5281/zenodo.14251190,Pinkafeld,SP,57.302,20.889,36.413,72.5,25.6,592.5,2.75,1.715,0.174
tr_0000,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,45.0,16.0,29.0,45.0,15.0,592.5,2.68,1.6106014271151885,0.125
tr_0001,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,64.0,30.0,34.0,78.0,12.0,592.5,2.68,1.5800203873598369,0.11
tr_0002,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,40.0,19.0,21.0,62.0,15.0,592.5,2.68,1.7329255861365953,0.147
tr_0003,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,42.0,22.0,20.0,95.0,5.0,592.5,2.68,1.6411824668705404,0.2
tr_0004,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,33.0,19.0,14.0,96.0,4.0,592.5,2.68,1.6309887869520896,0.195
tr_0005,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,36.0,19.0,17.0,69.0,31.0,592.5,2.68,1.6309887869520896,0.1939999999999999
tr_0006,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,43.0,25.0,18.0,30.0,24.0,592.5,2.68,1.885830784913353,0.142
tr_0007,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,52.0,27.0,25.0,36.0,16.0,592.5,2.68,1.6309887869520896,0.172
tr_0008,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,25.0,15.0,10.0,19.0,24.0,592.5,2.68,2.0489296636085625,0.094
tr_0010,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,25.0,12.0,13.0,34.0,38.0,592.5,2.68,1.926605504587156,0.12
tr_0011,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,27.0,12.0,15.0,43.0,32.0,592.5,2.68,1.9164118246687047,0.135
tr_0012,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,27.0,18.0,9.0,78.0,22.0,592.5,2.68,1.7737003058103973,0.16
tr_0013,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,31.0,19.0,12.0,39.0,17.0,592.5,2.68,1.7023445463812434,0.184
tr_0014,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,77.0,41.0,36.0,94.0,6.0,592.5,2.68,1.294597349643221,0.37
tr_0015,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,78.0,41.0,37.0,95.0,5.0,592.5,2.68,1.3047910295616718,0.38
tr_0016,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,41.0,18.0,23.0,89.0,11.0,592.5,2.68,1.5800203873598369,0.24
tr_0017,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,40.0,18.0,22.0,88.0,12.0,592.5,2.68,1.5800203873598369,0.241
tr_0018,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,40.0,15.0,25.0,85.0,15.0,592.5,2.68,1.529051987767584,0.235
tr_0019,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,41.0,15.0,26.0,86.0,14.0,592.5,2.68,1.5800203873598369,0.238
tr_0020,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,40.0,15.0,25.0,88.0,12.0,592.5,2.68,1.5800203873598369,0.242
tr_0021,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,43.0,21.0,22.0,88.0,12.0,592.5,2.68,1.5902140672782874,0.241
tr_0022,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,36.0,17.0,19.0,70.0,17.0,592.5,2.68,1.7227319062181443,0.19
tr_0023,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,36.0,24.0,12.0,92.0,8.0,592.5,2.68,1.5800203873598369,0.201
