curve_id,source_doi,source_title,n_points,fit_rmse,w_opt,S_opt,k_d,k_w,k_d_spread,k_w_spread,k_d_at_bound,k_w_at_bound,k_d_identified,k_w_identified,MDD_Mgm3,OMC_frac,venue,venue_class
curve_0016,10.20961/ijcee.v9i1.64990,STABILIZATION OF LATERITIC SOIL SAMPLE FROM IJOKO WITH CEMENT KILN DUST AND LIME,5,0.0029,0.11374,0.7231,1.2709,0.3467,0.0,0.0,False,False,True,True,1.8853,0.11374,Indonesian Journal Of Civil Engineering Education,journal
curve_0017,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0036,0.24675,0.9547,1.0,0.196,0.0,0.0,True,False,False,True,1.5833,0.24675,E3S Web of Conferences,journal
curve_0018,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0037,0.37906,0.8063,1.1473,0.9408,0.0,0.9406,False,False,True,False,1.1859,0.37906,E3S Web of Conferences,journal
curve_0019,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0015,0.42843,0.9519,1.2429,0.5464,0.0223,0.086,False,False,True,True,1.2148,0.42843,E3S Web of Conferences,journal
curve_0020,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0025,0.2894,0.9261,1.0,0.2004,0.0,0.0,True,False,False,True,1.4585,0.2894,E3S Web of Conferences,journal
curve_0021,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0018,0.17805,0.9299,1.5927,0.0377,0.0,0.0,False,False,True,True,1.7712,0.17805,E3S Web of Conferences,journal
curve_0022,10.1051/e3sconf/20199218002,Compacted states and physical properties of soil controlled by the degree of saturation du,25,0.0016,0.09386,0.9269,1.4664,0.0243,0.0,0.0,False,False,True,True,2.108,0.09386,E3S Web of Conferences,journal
curve_0023,10.21203/rs.3.rs-3065693/v1,Influence of Calcium Carbonate Sludge on Cement-Stabilized Subgrade Quality as Investigate,4,0.0013,0.08334,0.8701,1.1634,0.5004,0.0,0.3924,False,False,True,False,2.1326,0.08334,Research Square,preprint
curve_0024,10.21203/rs.3.rs-3065693/v1,Influence of Calcium Carbonate Sludge on Cement-Stabilized Subgrade Quality as Investigate,4,0.0048,0.08068,0.6835,1.1527,0.7496,0.0,0.5408,False,False,True,False,2.036,0.08068,Research Square,preprint
curve_0025,10.21203/rs.3.rs-3065693/v1,Influence of Calcium Carbonate Sludge on Cement-Stabilized Subgrade Quality as Investigate,25,0.0025,0.0734,0.7598,1.1757,0.7878,0.0088,0.0232,False,False,True,True,2.1289,0.0734,Research Square,preprint
curve_0026,10.21203/rs.3.rs-3065693/v1,Influence of Calcium Carbonate Sludge on Cement-Stabilized Subgrade Quality as Investigate,25,0.002,0.07384,0.621,1.158,0.8957,0.0109,0.0332,False,False,True,True,2.0323,0.07384,Research Square,preprint
curve_0028,10.28991/cej-2024-010-11-017,Utilizing Recycled Rubber and Municipal Waste Incineration Fly Ash in Cement-Stabilized Cl,5,0.0103,0.17101,0.8569,1.2109,0.0,32.9922,0.0,False,True,False,False,1.7461,0.17101,Civil Engineering Journal,journal
curve_0029,10.28991/cej-2024-010-11-017,Utilizing Recycled Rubber and Municipal Waste Incineration Fly Ash in Cement-Stabilized Cl,5,0.0117,0.18179,0.7812,1.0,0.0,161.0157,0.0,True,True,False,False,1.6506,0.18179,Civil Engineering Journal,journal
curve_0030,10.34218/ijciet.11.11.2020.005,EVALUATION OF SALT WATER EFFECT ON THE PHYSICAL PROPERTIES AND COMPACTION CHARACTERISTICS ,7,0.0151,0.16069,0.9155,1.4972,0.7373,0.0632,0.3383,False,False,True,False,1.8226,0.16069,INTERNATIONAL JOURNAL OF CIVIL ENGINEERING AND TECHNOLOGY (IJCIET),low_assurance
curve_0031,10.34218/ijciet.11.11.2020.005,EVALUATION OF SALT WATER EFFECT ON THE PHYSICAL PROPERTIES AND COMPACTION CHARACTERISTICS ,7,0.015,0.15264,0.9225,1.9249,0.4003,0.1493,0.0838,False,False,True,True,1.8567,0.15264,INTERNATIONAL JOURNAL OF CIVIL ENGINEERING AND TECHNOLOGY (IJCIET),low_assurance
curve_0032,10.34218/ijciet.11.11.2020.005,EVALUATION OF SALT WATER EFFECT ON THE PHYSICAL PROPERTIES AND COMPACTION CHARACTERISTICS ,7,0.0154,0.14385,0.8952,2.5783,0.6083,0.2449,0.665,False,False,False,False,1.8732,0.14385,INTERNATIONAL JOURNAL OF CIVIL ENGINEERING AND TECHNOLOGY (IJCIET),low_assurance
