record_id,source,reference_or_doi,test_standard,energy_kJm3,gravel_pct,sand_pct,silt_pct,clay_pct,fines_pct,D10,D30,D50,D60,Cu,Cc,LL,PL,PI,uscs,Gs,Gs_imputed,MDD_Mgm3,OMC_frac,S_opt
gun_341,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.5,83.2,,,6.3,,,,,,,27.2,,26.2,,2.68,True,2.000407747196738,0.1117,0.8811666982660341
gun_342,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.599999999999994,87.9,,,6.5,,,,,,,26.0,,25.0,,2.68,True,1.952191641182467,0.122,0.8770008907812544
gun_343,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.7000000000000028,92.7,,,6.6,,,,,,,26.2,,25.2,,2.68,True,1.9466870540265035,0.1214,0.8636947293502739
gun_344,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.099999999999994,36.2,,,53.7,,,,,,,47.6,22.3,25.3,,2.68,True,1.8400611620795104,0.1558,0.91471719507755
gun_345,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.200000000000003,41.0,,,53.8,,,,,,,49.6,17.9,31.700000000000003,,2.68,True,1.8406727828746168,0.1518,0.8921786985353043
gun_346,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.099999999999994,31.60000000000001,,,58.3,,,,,,,49.6,23.0,26.6,,2.68,True,1.8184505606523955,0.1551,0.8773399100783262
gun_347,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.099999999999994,27.000000000000007,,,62.9,,,,,,,50.7,19.4,31.300000000000004,,2.68,True,1.771559633027523,0.1639999999999999,0.8571128256917787
gun_348,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.099999999999994,27.200000000000003,,,67.7,,,,,,,52.3,24.4,27.9,,2.68,True,1.7470948012232417,0.1767,0.8868502681439718
gun_349,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.099999999999994,22.5,,,72.4,,,,,,,54.3,25.1,29.2,,2.68,True,1.7262996941896025,0.171,0.8295358814852819
gun_350,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.099999999999994,17.900000000000006,,,77.0,,,,,,,53.8,18.9,34.9,,2.68,True,1.6992864424057086,0.1921,0.8920446075170464
gun_351,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.0,13.400000000000006,,,81.6,,,,,,,58.3,26.6,31.7,,2.68,True,1.675433231396534,0.1914999999999999,0.8559568859844944
